type,class,0,1,2,3,4,5,6
train,0,3,3,0.588658071,0.108916731,0.098766498,0.348669801,0.061671953
train,0,3,3,0.57840739,0.113558019,0.091052115,0.317832763,0.137982935
train,0,2,2,0.652519888,0.046648935,0.300783577,0.043434637,0.025101673
train,0,3,3,0.577604727,0.11379719,0.091737188,0.313239207,0.138697284
train,1,2,2,0.652519888,0.046648935,0.300783577,0.043434637,0.025101673
train,1,1,2,0.687389869,0.056448984,0.305828505,0.043711539,0.022024498
train,1,1,1,0.659170962,0.082716783,0.271939362,0.048655794,0.043457038
train,1,1,2,0.668346043,0.064070268,0.306771498,0.048937987,0.03055405
test,0,3,3,0.588658071,0.108916731,0.098766498,0.348669801,0.061671953
test,0,3,3,0.57840739,0.113558019,0.091052115,0.317832763,0.137982935
test,0,2,2,0.652519888,0.046648935,0.300783577,0.043434637,0.025101673
test,0,3,3,0.577604727,0.11379719,0.091737188,0.313239207,0.138697284
test,1,2,2,0.652519888,0.046648935,0.300783577,0.043434637,0.025101673
test,1,1,2,0.687389869,0.056448984,0.305828505,0.043711539,0.022024498
test,1,1,1,0.659170962,0.082716783,0.271939362,0.048655794,0.043457038
test,1,1,2,0.668346043,0.064070268,0.306771498,0.048937987,0.03055405
